Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,Blank diagram,
2,Page,,,,,,,,,,Page 1,
3,Terminator,Flowchart Shapes/Containers,2,,,,,,,,START,
4,Data (I/O),Flowchart Shapes/Containers,2,,,,,,,,User inputs a question,
5,Decision,Flowchart Shapes/Containers,2,,,,,,,,Can this question be answered?,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Generate answer,
7,Database,Flowchart Shapes/Containers,2,,,,,,,,Vector similarity search for augmented query,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Augment user's query for semantic search,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Embed text (text-embedding-3-small),
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Process current conversation context,
11,Text,Standard,2,,,,,,,,Answer Generation,
12,Text,Standard,2,,,,,,,,PDF Embedding,
13,Terminator,Flowchart Shapes/Containers,2,,,,,,,,START,
14,Multiple documents,Flowchart Shapes/Containers,2,,,,,,,,BCU Policies (PDF),
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Load PDFs with LangChain,
16,Multiple documents,Flowchart Shapes/Containers,2,,,,,,,,LangChain Documents,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Split full documents into smaller chunks,
18,Multiple documents,Flowchart Shapes/Containers,2,,,,,,,,Chunks,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Generate vector embeddings of each chunk,
20,Multiple documents,Flowchart Shapes/Containers,2,,,,,,,,Embeddings,
21,Database,Flowchart Shapes/Containers,2,,,,,,,,Vector Database,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Save vector DB to a file,
23,Terminator,Flowchart Shapes/Containers,2,,,,,,,,END,
24,Line,,2,,,3,4,None,Arrow,,,
25,Line,,2,,,5,6,None,Arrow,,Yes,
26,Line,,2,,,6,4,None,Arrow,,,
27,Line,,2,,,5,8,None,Arrow,,No,
28,Line,,2,,,8,7,None,Arrow,,,
29,Line,,2,,,4,9,None,Arrow,,,
30,Line,,2,,,9,10,None,Arrow,,,
31,Line,,2,,,10,5,None,Arrow,,,
32,Line,,2,,,7,6,None,Arrow,,,
33,Line,,2,,,13,14,None,Arrow,,,
34,Line,,2,,,14,15,None,Arrow,,,
35,Line,,2,,,15,16,None,Arrow,,,
36,Line,,2,,,16,17,None,Arrow,,,
37,Line,,2,,,17,18,None,Arrow,,,
38,Line,,2,,,18,19,None,Arrow,,,
39,Line,,2,,,19,20,None,Arrow,,,
40,Line,,2,,,20,21,None,Arrow,,,
41,Line,,2,,,21,22,None,Arrow,,,
42,Line,,2,,,22,23,None,Arrow,,,